Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Age,Intake Date,Outcome Date,Days in Shelter,Intake Type,Outcome Type,Intake Condition
ATHENA,OTHER,RABBIT SH,BLACK,Spayed,SMALL,8/16/2010,K13-005008,SMA,A295655,3.00,8/16/2013,1/4/2014,141,STRAY,ADOPTION,HEALTHY
ZIGGY,CAT,DOMESTIC SH,ORG TABBY/WHITE,Spayed,SMALL,8/28/2007,K13-005041,WESTFARM,A295782,5.98,8/17/2013,1/7/2014,143,STRAY,ADOPTION,HEALTHY
*ALICE,DOG,PIT BULL,GRAY/WHITE,Spayed,MED,9/3/2012,K13-005161,DA38,A296009,0.97,8/22/2013,4/14/2014,235,TRANSFER,EUTHANIZE,HEALTHY
NALA,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,3/27/2007,K13-005202,LOBBY,A296108,6.42,8/24/2013,3/1/2014,189,OWNER SURRENDER,ADOPTION,TREATABLE/REHAB
KHLOE,DOG,PIT BULL,BLUE/WHITE,Spayed,MED,10/9/2012,K13-005378,DA11,A294143,0.89,8/31/2013,4/14/2014,226,STRAY,EUTHANIZE,HEALTHY
LOKI,DOG,CAROLINA DOG/MIX,GOLD/WHITE,Male,MED,9/7/2007,K13-005670,DI100,A281788,6.04,9/19/2013,7/30/2014,314,STRAY,EUTHANIZE,UNTREATABLE
HANK,DOG,CHIHUAHUA SH,TAN,Neutered,TOY,10/1/2007,K13-005875,DS96,A297574,6.01,10/1/2013,1/1/2014,92,OWNER SURRENDER,EUTHANIZE,TREATABLE/MANAGEABLE
*BINGO,DOG,PIT BULL,TAN/WHITE,Neutered,MED,10/29/2012,K13-006036,DA39,A298002,0.94,10/8/2013,5/22/2014,226,STRAY,ADOPTION,HEALTHY
*LIBBY,DOG,PIT BULL/MIX,TAN/WHITE,Spayed,MED,10/12/2011,K13-006058,DA13,A298061,1.99,10/9/2013,2/15/2014,129,STRAY,ADOPTION,HEALTHY
*KITTEN KIT,CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,10/1/2013,K13-006355,RECEIVING,A298767,0.07,10/26/2013,1/9/2014,75,STRAY,ADOPTION,HEALTHY
*SHEILA,DOG,PIT BULL,BLACK,Spayed,LARGE,11/22/2010,K13-006407,DA18,A298914,2.94,10/30/2013,3/29/2014,150,STRAY,ADOPTION,TREATABLE/REHAB
*WESLEY,DOG,CHIHUAHUA SH,BLACK/TAN,Neutered,TOY,12/4/2002,K13-006457,DA08,A299080,10.92,11/2/2013,1/4/2014,63,STRAY,ADOPTION,TREATABLE/REHAB
LILLY,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,11/7/2008,K13-006514,LOBBY,A299195,5.00,11/7/2013,2/14/2014,99,OWNER SURRENDER,ADOPTION,TREATABLE/MANAGEABLE
*JT,DOG,CHIHUAHUA SH,BLUE/FAWN,Neutered,SMALL,11/21/2011,K13-006551,DA04,A299340,1.98,11/12/2013,6/21/2014,221,TRANSFER,ADOPTION,TREATABLE/REHAB
TIGER JR,DOG,TOY FOX TERRIER,WHITE/BLACK,Neutered,TOY,4/1/2005,K13-006641,DA47,A025040,8.63,11/16/2013,1/31/2014,76,OWNER SURRENDER,TRANSFER,HEALTHY
ZOEY,DOG,PARSON RUSS TER,TRICOLOR,Spayed,SMALL,5/13/2001,K13-006718,DA04,A299783,12.53,11/21/2013,1/29/2014,69,OWNER SURRENDER,ADOPTION,HEALTHY
SARAH,CAT,DOMESTIC SH,ORG TABBY,Spayed,SMALL,7/6/2004,K13-006835,LOBBY,A294009,9.41,11/30/2013,6/9/2014,191,OWNER SURRENDER,TRANSFER,HEALTHY
HOAGIE,DOG,PIT BULL/AMER BULLDOG,BLACK/WHITE,Neutered,MED,12/2/2011,K13-006842,FOSTER,A300112,2.00,12/2/2013,4/23/2014,142,TRANSFER,ADOPTION,HEALTHY
SHOWA,DOG,PIT BULL,BROWN/WHITE,Spayed,LARGE,,K13-006852,DS76,A300147,114.00,12/3/2013,1/1/2014,29,STRAY,EUTHANIZE,TREATABLE/MANAGEABLE
HARLEY,DOG,LABRADOR RETR/MIX,BROWN,Neutered,MED,12/27/2012,K13-006887,DA14,A300211,0.94,12/4/2013,1/7/2014,34,STRAY,ADOPTION,HEALTHY
LUKE,DOG,GOLDEN RETR/CHOW CHOW,RED/BLACK,Neutered,LARGE,1/20/2013,K13-006900,DA33,A299641,0.87,12/4/2013,3/8/2014,94,OWNER SURRENDER,ADOPTION,UNKNOWN
BOO BOO,CAT,MUNCHKIN SH,GRAY TABBY,Neutered,SMALL,12/9/2001,K13-006917,CA02,A300300,12.00,12/5/2013,1/7/2014,33,OWNER SURRENDER,ADOPTION,HEALTHY
*BOSTON,DOG,PIT BULL,BLACK/WHITE,Neutered,LARGE,12/17/2011,K13-006905,DA12,A300270,1.97,12/5/2013,4/19/2014,135,STRAY,ADOPTION,HEALTHY
PITAH,DOG,PIT BULL,BL BRINDLE/WHITE,Neutered,LARGE,6/6/2007,K13-006925,DQ109,A300326,6.51,12/6/2013,2/11/2014,67,OWNER SURRENDER,EUTHANIZE,TREATABLE/MANAGEABLE
BROWNIE,DOG,AMERICAN STAFF/MIX,BROWN/WHITE,Male,MED,12/7/2010,K13-006935,DS77,A300372,3.00,12/7/2013,1/1/2014,25,OWNER SURRENDER,EUTHANIZE,TREATABLE/MANAGEABLE
TITO,DOG,COCKER SPAN/MIX,TAN,Neutered,MED,1/4/2011,K13-006931,DA40,A300362,2.93,12/7/2013,1/4/2014,28,STRAY,ADOPTION,TREATABLE/MANAGEABLE
DUKE,DOG,PIT BULL/MIX,FAWN/WHITE,Male,MED,2/20/2013,K13-006949,DS91,A300414,0.80,12/9/2013,1/8/2014,30,TRANSFER,EUTHANIZE,TREATABLE/MANAGEABLE
CAMMY,DOG,GERM SHEPHERD,BLACK/BROWN,Female,LARGE,4/10/2013,K13-006956,DS75,A300437,0.67,12/10/2013,1/14/2014,35,OWNER SURRENDER,EUTHANIZE,TREATABLE/MANAGEABLE
HEIDI,CAT,DOMESTIC MH,BRN TABBY/WHITE,Spayed,SMALL,12/10/2004,K13-006966,CA02,A300450,9.01,12/10/2013,1/14/2014,35,OWNER SURRENDER,ADOPTION,HEALTHY
*THOR,DOG,PIT BULL,BLACK/WHITE,Neutered,MED,6/10/2013,K13-006959,DA29,A300439,0.50,12/10/2013,1/11/2014,32,STRAY,ADOPTION,HEALTHY
PEABODY,DOG,CAIRN TERRIER/MIX,WHITE,Neutered,SMALL,2/12/2013,K13-006982,DA41,A300486,0.83,12/11/2013,1/14/2014,34,STRAY,ADOPTION,HEALTHY
*MR. PEEBLES,DOG,PIT BULL,BLUE/WHITE,Neutered,PUPPY,12/4/2013,K13-006972,FOSTER,A300474,0.02,12/11/2013,6/27/2014,198,STRAY,ADOPTION,UNKNOWN
*FOSSIL,DOG,CHIHUAHUA SH/MIX,TAN,Neutered,TOY,12/20/1998,K13-006981,DA44,A300485,14.99,12/11/2013,1/28/2014,48,STRAY,ADOPTION,HEALTHY
BUDDY,DOG,CHIHUAHUA SH,TRICOLOR,Neutered,SMALL,12/30/2012,K13-006983,DA43,A300487,0.95,12/11/2013,1/3/2014,23,STRAY,ADOPTION,HEALTHY
*TILLY,DOG,PIT BULL,WHITE/TAN,Spayed,MED,12/12/2011,K13-006998,DA32,A300522,2.00,12/12/2013,1/18/2014,37,STRAY,ADOPTION,HEALTHY
BO,DOG,LABRADOR RETR/MIX,BROWN,Male,LARGE,12/12/2004,K13-007001,DQ115,A300527,9.01,12/12/2013,1/1/2014,20,QUARANTINE,EUTHANIZE,UNTREATABLE
MAX,DOG,GERM SHEPHERD/PIT BULL,BR BRINDLE,Neutered,MED,4/24/2013,K13-006995,DA19,A300244,0.64,12/12/2013,2/15/2014,65,STRAY,ADOPTION,HEALTHY
WILLOW,DOG,AUST KELPIE,TRICOLOR,Spayed,MED,12/13/2009,K13-007011,DA27,A298955,4.00,12/13/2013,2/25/2014,74,OWNER SURRENDER,ADOPTION,HEALTHY
SADIE,DOG,AUST KELPIE/MIX,TRICOLOR,Spayed,MED,12/13/2001,K13-007012,DA20,A300556,12.01,12/13/2013,2/13/2014,62,OWNER SURRENDER,ADOPTION,HEALTHY
ELVIS,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,12/14/1999,K13-007021,CI01,A300612,14.01,12/14/2013,1/2/2014,19,OWNER SURRENDER,EUTHANIZE,TREATABLE/MANAGEABLE
OTTER,DOG,ROTTWEILER/MIX,RED/TAN,Female,LARGE,1/3/2009,K13-007017,DS72,A300092,4.95,12/14/2013,1/5/2014,22,STRAY,EUTHANIZE,UNTREATABLE
,DOG,MASTIFF,BR BRINDLE,Male,LARGE,12/15/2012,K13-007031,DS57,A300625,1.00,12/15/2013,1/8/2014,24,STRAY,EUTHANIZE,TREATABLE/MANAGEABLE
,OTHER,GOAT,WHITE/BROWN,Female,LARGE,,K13-007039,LS03,A300642,114.04,12/16/2013,1/8/2014,23,STRAY,TRANSFER,HEALTHY
,OTHER,GOAT,WHITE/BLACK,Female,LARGE,,K13-007041,LS03,A300644,114.04,12/16/2013,1/9/2014,24,STRAY,TRANSFER,HEALTHY
,OTHER,GOAT,WHITE/BROWN,Female,LARGE,,K13-007040,LS03,A300643,114.04,12/16/2013,1/8/2014,23,STRAY,TRANSFER,HEALTHY
LUCAS,DOG,GERM SHEPHERD,BLACK/TAN,Male,LARGE,7/17/2012,K13-007034,DS92,A290732,1.42,12/16/2013,1/1/2014,16,STRAY,EUTHANIZE,UNTREATABLE
