,Type,Sex,Size,Age,Outcome Type,Intake Condition,First_Color,Second_Color,First Breed,Second Breed
1,CAT,Female,SMALL,5.98,ADOPTION,HEALTHY,WHITE,Other,DOMESTIC SH,
2,DOG,Female,MED,0.97,EUTHANIZE,HEALTHY,WHITE,GRAY,PIT BULL,
3,CAT,Female,SMALL,6.42,ADOPTION,TREATABLE/REHAB,CALICO,,DOMESTIC SH,
4,DOG,Female,MED,0.89,EUTHANIZE,HEALTHY,WHITE,BLUE,PIT BULL,
5,DOG,Male,MED,6.04,EUTHANIZE,UNTREATABLE,WHITE,Other,MIX,Other
6,DOG,Male,TOY,6.01,EUTHANIZE,TREATABLE/MANAGEABLE,TAN,,CHIHUAHUA SH,
7,DOG,Male,MED,0.94,ADOPTION,HEALTHY,WHITE,TAN,PIT BULL,
8,DOG,Female,MED,1.99,ADOPTION,HEALTHY,WHITE,TAN,PIT BULL,MIX
9,CAT,Female,KITTN OR PUPPY,0.07,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
10,DOG,Female,LARGE,2.94,ADOPTION,TREATABLE/REHAB,BLACK,,PIT BULL,
11,DOG,Male,TOY,10.92,ADOPTION,TREATABLE/REHAB,TAN,BLACK,CHIHUAHUA SH,
12,CAT,Female,SMALL,5.0,ADOPTION,TREATABLE/MANAGEABLE,WHITE,BLACK,DOMESTIC SH,
13,DOG,Male,SMALL,1.98,ADOPTION,TREATABLE/REHAB,BLUE,Other,CHIHUAHUA SH,
15,DOG,Female,SMALL,12.53,ADOPTION,HEALTHY,TRICOLOR,,PARSON RUSS TER,
17,DOG,Male,MED,2.0,ADOPTION,HEALTHY,WHITE,BLACK,PIT BULL,Other
18,DOG,Female,LARGE,1.98,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,BROWN,PIT BULL,
19,DOG,Male,MED,0.94,ADOPTION,HEALTHY,BROWN,,LABRADOR RETR,MIX
20,DOG,Male,LARGE,0.87,ADOPTION,HEALTHY,RED,BLACK,Other,
21,CAT,Male,SMALL,12.0,ADOPTION,HEALTHY,GRAY TABBY,,Other,
