,coef,feature
15,-5.415400930571599,x3_UNTREATABLE
5,-4.512697611483661,x1_Unknown
64,-1.2208132466924253,x6_PIT BULL
49,-0.904686917347761,x6_CATAHOULA
61,-0.8917884053780704,x6_MIX
55,-0.8187625105386755,x6_DOMESTIC MH
34,-0.8109108339475244,x5_BLUE
57,-0.7847205745591759,x6_GERM SHEPHERD
76,-0.767065584602625,x7_
21,-0.7132407923640987,x4_CALICO
50,-0.6890049896470558,x6_CHIHUAHUA LH
56,-0.6754305485712855,x6_DOMESTIC SH
11,-0.6673693670346211,x2_X-LRG
7,-0.6593813056977146,x2_LARGE
68,-0.6167755571873863,x6_QUEENSLAND HEEL
52,-0.5812270283217735,x6_DACHSHUND
22,-0.5581817877854319,x4_GRAY
90,-0.5484379636346608,x7_GERM SHEPHERD
75,-0.5408103490535313,x6_YORKSHIRE TERR
79,-0.4726070102385516,x7_AUST KELPIE
0,-0.4213320341551956,Age
85,-0.3618776979631838,x7_CATAHOULA
70,-0.351386971725611,x6_ROTTWEILER
29,-0.3502016951596139,x4_TORTIE
93,-0.30274501116822183,x7_MIX
8,-0.26585022452022034,x2_MED
45,-0.2500850130189072,x6_BEAGLE
46,-0.2465431986703096,x6_BORDER COLLIE
88,-0.21678370591790366,x7_DACHSHUND
82,-0.16748317091603712,x7_BORDER COLLIE
77,-0.15872653158096262,x7_ALASKAN HUSKY
66,-0.15840870640837457,x6_POODLE MIN
83,-0.14335052471615542,x7_BOXER
20,-0.1410862904471927,x4_BROWN
32,-0.13285895560186384,x5_
73,-0.13253669500746462,x6_SIAMESE
18,-0.12734067059266185,x4_BR BRINDLE
86,-0.10721853127989707,x7_CHIHUAHUA LH
23,-0.09042706206760147,x4_GRAY TABBY
28,-0.07499992448179321,x4_TAN
37,-0.06858988067358997,x5_BROWN
2,-0.02463419052100081,x0_DOG
35,1.943848553447376e-05,x5_BR BRINDLE
9,0.009394987358033036,x2_SMALL
31,0.012936904095518521,x4_WHITE
33,0.013677919470718879,x5_BLACK
80,0.021138963886790246,x7_AUST SHEPHERD
1,0.03302112662414287,x0_CAT
16,0.06626834140815668,x4_BLACK
26,0.0947563466813627,x4_Other
51,0.10386989582726508,x6_CHIHUAHUA SH
42,0.1265519539221884,x6_AUST CATTLE DOG
63,0.17886590188181845,x6_PARSON RUSS TER
17,0.18336153312309308,x4_BLUE
39,0.18721845422785394,x5_Other
13,0.1934073653144631,x3_TREATABLE/MANAGEABLE
19,0.19932022316648165,x4_BRN TABBY
92,0.20592994773222004,x7_MALTESE
62,0.2061705431678649,x6_Other
27,0.20892806649698234,x4_RED
38,0.21385432869331317,x5_GRAY
84,0.2223651791731391,x7_CAIRN TERRIER
60,0.22610310451749133,x6_MIN PINSCHER
89,0.23317001636863582,x7_DOBERMAN PINSCH
40,0.23623454111040085,x5_TAN
25,0.23785526012944133,x4_ORG TABBY
10,0.23898739252750914,x2_TOY
54,0.251418984023603,x6_DOMESTIC LH
41,0.27228750980863514,x6_ALASKAN HUSKY
74,0.28642535976973876,x6_SIBERIAN HUSKY
94,0.293204288600611,x7_Other
59,0.3247459257340691,x6_MALTESE
44,0.34573665811234927,x6_AUST SHEPHERD
48,0.3820676666287022,x6_CAIRN TERRIER
36,0.40153238353460124,x5_BRN TABBY
69,0.4402874580021253,x6_RAT TERRIER
91,0.4516965587131422,x7_LABRADOR RETR
24,0.4599429123718776,x4_LYNX PT
78,0.46850000662206254,x7_AUST CATTLE DOG
53,0.5406040424978802,x6_DOBERMAN PINSCH
47,0.5517808068001318,x6_BOXER
58,0.6215538781758049,x6_LABRADOR RETR
30,0.6640764899211938,x4_TRICOLOR
87,0.6657941180004654,x7_CHIHUAHUA SH
71,0.7523121471792348,x6_SCHNAUZER MIN
81,0.770088989929537,x7_BEAGLE
67,0.7704715386320958,x6_PUG
43,0.8428625416354565,x6_AUST KELPIE
65,0.8788304176142545,x6_POMERANIAN
72,0.9182906219398259,x6_SHIH TZU
6,1.3707714301537715,x2_KITTN OR PUPPY
4,2.243443712551965,x1_Male
14,2.2726848941435795,x3_TREATABLE/REHAB
3,2.282182329205751,x1_Female
12,2.9667785955585066,x3_HEALTHY
